ids,text,labels,parents
Ori-O2-Sub,,"Have many friends and close relationships.<br>
Sensitive to those who feel excluded.<br>
Enjoy organizing group activities.<br>
Loyal and expect loyalty in return.<br>",Ori-O2
Ori-O3-Sub,,"Business Consultant, HR Manager,<br>
Teacher, Writer<br><br>

More (The Teacher) :<br>
Recruiter, Teacher, Consultant, Reporter,<br>
Restaurant Manager, Translator, Writer",Ori-O3
Ori-O4-Sub,,"Bono, Martin Luther King Jr, Nelson Mandela,<br>
Opra Winfrey, Pope John Paul II",Ori-O4
Ori-O5-Sub,,"Enthusiasm speels the difference between<br>
mediocrity and accomplishment.<br>
- Normal Vincent Peale",Ori-O5
Ori-O6-Sub,,,Ori-O6
Ori-P1-Sub,,"Introverted Intuitive Feeling Judging (INFJ)<br><br>

Acronym : Inner Nuances Foster Journeys<br><br>

INFJ's are conscientious and value-driven. They seek meaning in relationships, ideas,<br>
and events, with an eye toward better understanding themselves and others.<br><br>

INFJ's are quiet, private individuals who prefer to exercise their influence behind the scenes.<br><br>

INFJ's have a rich, vivid inner life, which they may be reluctant to share with those around them.<br>
Abstract in communicating, they live in a world of hidden meanings and possibilities.",Ori-P1
Ori-P2-Sub,,"INFJs are gentle, caring and complex.<br>
Have deep insight into people and situations.<br>
As genuinely warm as they are complex.<br>
INFJ are nurturers; patient and devoted.<br>",Ori-P2
Ori-P3-Sub,,"Artist, Clergy, Counselor, Photographer,<br>
Teacher, Writer<br><br>

More (The Advocate) :<br>
Psychologist, Counselor, Social Worker, Mediator,<br>
Minister, Human Resources, Massage Therapist",Ori-P3
Ori-P4-Sub,,"Adolf Hitler, Alanis Morissette, Jane Goodall, Leonard Cohen,<br>
Ludwig Wittgenstein, Mahatma Gandhi, Marilyn Manson,<br>
Martin Van Buren, Noam Chomsky, Taylor Swift, Thomas Jefferson",Ori-P4
Ori-P5-Sub,,"If you have a dream, don't just sit there. Gather courage to believe that<br>
you can succeed and leave no stone unturned to make it a reality.<br>
- Roopleen",Ori-P5
Ori-P6-Sub,,,Ori-P6
